country,country_code,indicator,indicator_code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,,2.768382663,,,4.506179098,15.44282295,17.1,18.8,20.8,23,25.4,28,30.9,52,58,62,69,74,78.9,83.78,88.66122693,93.54245387
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,,,,,,,0.004722568,0.004561395,0.087891253,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4,5,5.454545455,5.9,7,8.26,10.59572642
Angola,AGO,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,,0.000775929,0.005673746,0.018453724,0.071964087,0.105045562,0.136013867,0.270376746,0.370682065,0.464814618,1.143366827,1.5,1.7,1.9,2.3,2.8,3.1,6.5,8.9,10.2,12.4,13
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,0.011168695,0.032196828,0.048593919,0.06502737,0.081437045,0.114097347,0.325798377,0.390081273,0.971900415,2.420387798,6.043890864,9.609991316,15.03611541,23.86,41.2,45,49,54.65595904,57.2,60.1,63.2529327,66.3634447
Andorra,AND,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,,1.526601023,3.050175385,6.886209218,7.635686143,10.53883561,,11.26046872,13.54641288,26.83795439,37.60576622,48.936847,70.87,70.04,78.53,81,81,86.43442462,94,95.9,96.91,97.93063712
Arab World,ARB,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,0.017025049,0.037760688,0.131045577,0.261615115,0.59858215,1.139541123,1.56128817,2.693061013,3.645880783,7.006812461,8.393141725,11.65464792,14.20590224,18.59353118,21.5453539,24.5357799,26.64546408,30.27449059,32.98467854,36.48301358,39.86746329,42.02688726
United Arab Emirates,ARE,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,0.102939175,0.375393534,3.295592694,6.908302986,14.94269899,23.62530088,26.2717542,28.31648531,29.47795341,30.13129617,40,52,61,63,64,68,78,84.9999915,88,90.4,90.5,90.60000732
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,0.002992874,0.029527065,0.043705951,0.086277081,0.141954704,0.280339882,0.83076668,3.284481956,7.038683086,9.780807285,10.88212438,11.91369655,16.03668411,17.72058337,20.9272021,25.94663294,28.11262348,34,45,51,55.8,59.9,64.7,68.04306411,70.15076431
Armenia,ARM,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,0.009117014,0.052743123,0.094572902,0.111650935,0.128659478,0.970737757,1.300470022,1.631094667,1.960405046,4.575217225,4.899008571,5.252983352,5.631787777,6.021253397,6.21,15.3,25,32,37.5,41.9,54.62280586,59.10237771,62
American Samoa,ASM,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,2.200768802,2.858449577,3.480536838,4.0717165,5.300681138,6.482225737,8.899285515,12.5,17.22864878,24.26654372,27,30,34,38,42,47,52,58,63.4,67.78,70,73
Australia,AUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.585094712,1.097203891,1.768764913,1.974611016,2.232101254,2.759654513,3.27524987,16.36935838,30.81323944,40.7837839,46.75611561,52.68926643,,,,63,66,69.45,71.67,74.25,76,79.48769771,79,83.45349717,84,84.56051935,88.23865805
Austria,AUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.130369377,0.259081553,0.642817619,0.76534273,1.393422968,1.890210524,6.909162353,9.533974317,15.42121932,23.0443171,33.73013295,39.18545018,36.56,42.7,54.28,58,63.6,69.37,72.87,73.45,75.17,78.7399931,80.02999392,80.6188,80.99582496,83.94014193,84.32333129
Azerbaijan,AZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,0.001431415,0.002055556,0.006354585,0.025187933,0.037485109,0.099228942,0.147757576,0.305564638,4.999713678,,,8.030375356,11.99217733,14.54,17.08,27.4,46,50,54.2,73.00000137,75.00001564,77,78.2
Burundi,BDI,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,0,0,0,0,0,0.000803592,0.007979439,0.015842776,0.039204469,0.077248447,0.106001245,0.118228412,0.201273197,0.349060462,0.542142866,0.65759259,0.7,0.81,0.9,1,1.11,1.219999945,1.264218111,1.38,4.866224464,5.173626777
Belgium,BEL,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.00100674,0.020072645,0.100041027,0.199446059,0.69599469,0.99166299,2.968411647,4.93808091,7.886622701,13.77221446,29.43169169,31.28839551,46.33,49.97,53.86,55.82,59.72,64.44,66,70,75,81.609996,80.71999055,82.1702,85,85.0529,86.5165
Benin,BEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,,0.0016931,0.024648796,0.047877304,0.154906741,0.225247851,0.36341789,0.702945595,0.951327115,1.182540965,1.271031439,1.537854346,1.79,1.85,2.24,3.13,4.148323066,4.5,4.9,6,11.25498791,11.99404791
Burkina Faso,BFA,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,,0.000960519,0.018686353,0.045423484,0.061780293,0.077080169,0.157732465,0.200992598,0.373440303,0.400295285,0.469914489,0.632707564,0.75,0.92,1.13,2.4,3,3.725034916,9.1,9.4,11.38764617,13.96
Bangladesh,BGD,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,,,0.000751046,0.003684813,0.036170407,0.071039423,0.129807974,0.139920289,0.163877665,0.199036334,0.241637326,1,1.8,2.5,3.1,3.7,4.5,5,6.63,13.9,14.4,18.246938
Bulgaria,BGR,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,0.002339042,0.019526669,0.119665549,0.725251167,1.219813132,1.844965121,2.908154025,5.370923469,7.612297749,9.08,12.04,18.13,19.97,27.09,33.64,39.67,45,46.23,47.97999305,51.89998767,53.0615,55.49,56.6563,59.82554766
Bahrain,BHR,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,0.346205844,0.843254219,1.646299202,3.218202151,4.720358118,6.153732546,15.03863425,18.05072089,21.55494499,21.45868051,21.30373351,28.24395243,32.91,51.95,53,55,76.9999665,88,90.0000397,90.50313348,93.47830114,97.9999807
"Bahamas, The",BHS,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,0.960030721,1.746950698,1.362953903,2.33559071,3.764557822,8,11.8,18,20,22,25,26,27,31.54,33.88,43,65,71.74820281,72,76.92,78,80
Bosnia and Herzegovina,BIH,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,,0.015125563,0.059425563,0.14367106,0.1943742,1.08296075,1.200526951,2.648267914,3.965036834,15.46897162,21.326701,25.12238569,27.92,34.66,37.74,42.75,47.77,52.78,57.79,60.8,65.0655028,69.33100561
Belarus,BLR,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,0.000485951,0.002921254,0.029298294,0.049020891,0.073868897,0.494881245,1.860398126,4.300616022,8.950971315,,,,16.2,19.7,23,27.43,31.8,39.64889566,46.91,54.17,59.02,67.3,71.11304576
Belize,BLZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,0.04539718,0.882807327,1.288582302,2.091516391,4.076740564,5.963835303,,5.684251214,,9.8,17,24,24.6,26.3,27.2,28.2,30.7,31,33.6,38.7,41.59,44.57574032
Bermuda,BMU,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,6.838163465,16.20246602,24.18925674,32.10375935,39.94758876,42.94986002,47.5096999,52.03159737,56.52201218,60.99086701,65.44706579,69.89965516,74.35059403,82.3,83.25,84.21,88.336,91.29930452,95.3,96.8,98.32360965,98
Bolivia,BOL,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,0.066807568,0.196081174,0.447839036,0.626484062,0.981815187,1.442763585,2.120462534,3.117192947,3.508596401,4.439924601,5.227583957,6.200671255,10.49924432,12.5,16.8,22.4,30,35.34,36.99,34.6,35.56227065,39.6975146
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,0.003288171,0.012946262,0.025498253,0.037672709,0.105138168,0.450789179,0.786079155,1.477874959,2.038732184,2.870685159,4.528494869,9.149425086,13.2075861,19.07367227,21.02274725,28.17838018,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.55100188,58.32795173,59.68274736
Barbados,BRB,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,0.007752238,0.389464214,0.783428912,1.970249237,2.376247035,3.973678355,11.93645034,27.83632242,39.68962712,49.8,52.5,55.3,58.2,61.4,64.7,65.1,66.5,71.2,71.8,75.16,76.11,79.54939789
Brunei Darussalam,BRN,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,1.017080166,3.303349927,4.831057905,6.284742844,7.671041206,8.996284534,12.91776908,15.32987986,19.59500322,29.71560414,36.46639195,42.18634916,44.68,46,49,53,56,60.27306504,64.5,68.77,71.2,75
Bhutan,BTN,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,,,,,0.137571514,0.400944447,0.864628564,1.675802584,2.436912399,3.156984196,3.847106745,4.518317258,5.92,6.55,7.17,13.6,14.4,15.6,22.4,30.3,39.8,41.77264453
Botswana,BWA,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,0,,,,0.064521041,0.15745423,0.30774685,0.602400929,1.122391474,2.902666622,3.430886787,3.385922351,3.345190174,3.304889253,3.262554036,4.289932975,5.28,6.25,6.15,6,9,16,30,36.74474744,37.31205037,39.36299738
Central African Republic,CAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,,0.005849503,0.014270881,0.027878201,0.040894287,0.053394174,0.078543428,0.128537117,0.151563338,0.223401395,0.268195609,0.311159173,0.375815961,1,1.8,2,2.2,3,3.4,3.6,3.8,4
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.360999701,0.570385926,0.91598104,1.184557509,2.378693853,4.163525253,6.76023965,15.07235736,24.8974003,36.18644004,51.3,60.2,61.59329927,64.2,65.95596346,71.66,72.4,73.2,76.7,80.3,80.3,83,83,85.8,87.12,88.47,89.84
Central Europe and the Baltics,CEB,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,0.148650058,0.38928487,0.621930638,1.068195153,1.790093415,3.511563902,4.959357017,7.037650207,10.21536513,18.19417192,22.5126441,29.15044423,34.64729322,40.65876375,45.11428149,50.4833147,54.87022447,58.35016696,58.85739214,61.50954877,63.29097207,66.32785065,67.20136837,71.18731468
Switzerland,CHE,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.595714223,1.17995597,1.751713322,2.167270203,2.720004329,3.552007211,4.549656748,15.1,24.8,34,47.1,55.1,61.4,65.1,67.8,70.1,75.7,77.2,79.2,81.3,83.9,85.19302818,85.2,86.34,87.4,87.4790556,89.4055681
Channel Islands,CHI,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,0.036548938,0.071783144,0.141084507,0.346980781,0.68347561,1.057092496,1.662322022,4.103419297,16.6,19.1,22.1,25.47377889,28.17791012,31.17534703,34.49775117,35.9,37.3,41.56,45,52.24960729,55.05,58,61.11,64.289,66.01
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,0.00016868,0.001168115,0.00495471,0.013081692,0.032394861,0.168540297,0.708187957,1.775913207,2.639650215,4.595704331,6.2,7.3,8.523257003,10.52315262,16,22.6,28.9,34.3,38.3,42.30011749,45.8,47.9,50.3,53.2
Cote d'Ivoire,CIV,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,0.000200256,0.00840978,0.018828361,0.060974439,0.118685917,0.231461671,0.395747702,0.497929361,0.758669629,0.849282415,1.039238205,1.524900791,1.8,1.9,2,2.7,2.9,5,12,19.2742298,21.88520842,26.52722561
Cameroon,CMR,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,,,0.006768744,0.013216341,0.129067581,0.252120078,0.277051322,0.360871584,0.587622611,0.976075415,1.402654226,2.028744791,2.93,3.4,3.84,4.3,5,7.5,10,16.21487223,20.68014766,25
"Congo, Dem. Rep.",COD,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,,0.000108207,0.000211213,0.000413065,0.001009076,0.005902114,0.011475782,0.092790702,0.134914837,0.196208375,0.238037799,0.29605361,0.37,0.44,0.56,0.72,1.2,1.679961015,2.2,3,3.799999507,6.20997406
"Congo, Rep.",COG,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,,0.00352686,0.003469104,0.003415143,0.016791049,0.026354732,0.032223616,0.157249517,0.460014187,1.07750493,1.46342006,2.007990079,2.759704374,4.287509903,4.5,5,5.6,6.106695024,6.6,7.11,7.615974662,8.121949323
Colombia,COL,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,0.107173945,0.18804679,0.330017773,0.550521023,1.126225245,1.697730794,2.207532993,2.854199971,4.6,7.388923711,9.118690303,11.00726389,15.34167454,21.8,25.6,30,36.5,40.35091575,48.98,51.7,52.57,55.90497251,58.13649357
Comoros,COM,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,,,0,0.03787097,0.148162964,0.271740607,0.443068373,0.554869675,0.84818937,1.327327178,2,2.2,2.5,3,3.5,5.1,5.5,5.975296308,6.5,6.98,7.459161386,7.938322771
Cabo Verde,CPV,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,,,0.24096792,0.472735008,1.159982461,1.822443852,2.685332713,3.518757175,4.324885391,5.31883207,6.074087107,6.808911008,8.28321982,14,21,30,32,34.74,37.5,40.26,47.96162392,48.1652774
Costa Rica,CRI,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,0.001113325,0.081509754,0.279912479,0.416829206,0.84105704,1.640221288,2.666378698,3.904323257,5.800253023,9.559482135,19.89485113,20.33361481,20.79230671,22.07,25.1,28.4,32.29,34.33,36.5,39.212196,47.5,45.96,53,59.76295014,66.02871285
Caribbean small states,CSS,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,0.193912108,0.554448786,0.904680903,1.943876388,3.379123195,4.940877784,8.357711431,11.82229681,14.97618472,16.89119229,19.48895869,22.34485257,24.4938787,27.72404741,31.92694997,35.74316613,42.42886142,42.85406873,45.58082237,48.63168348,50.84963316,53.74735161
Cuba,CUB,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,9.17E-05,0.031949001,0.068220214,0.226699199,0.314690541,0.541182549,1.079751722,3.770585038,5.241269054,8.407984759,9.738062208,11.15960131,11.69,12.94,14.33,15.9,16.0172908,21.2,27.93,29.07018437,37.30509742,38.76586728
Curacao,CUW,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,61.85551074
Cayman Islands,CYM,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,0,0,3.948967193,,,,,,,,,,38.03438308,44.5,52,61,64.5,66,69.46594499,69.7,71.4,74.1,77,79
Cyprus,CYP,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,0.05006043,0.056367482,0.111034621,0.410120685,0.673343541,4.378272095,8.890539159,11.34239866,15.25539437,18.81875904,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,52.99,56.85989235,60.6898684,65.4548,69.33,71.7159,75.90036019
Czech Republic,CZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,0.581319529,1.259217838,1.45357584,1.940378193,2.915698695,3.895906065,6.832802018,9.780527888,14.69717212,23.93,34.3,35.5,35.27,47.93,51.93,62.97,64.43,68.82,70.49,73.43000782,74.1104,74.23171164,75.6688387,76.48120138
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.125892223,0.250274153,0.43528529,0.463635096,0.922541043,1.837737754,3.054805234,6.711087477,9.877852428,20.84598264,30.2163466,31.65093942,48.82,55.9,64.73,68.71,72.16,75.16,78,79,82,81.26999954,82.34999847,84.17,86.19,87.5898,89.64710059
Djibouti,DJI,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,0.01603083,0.031166241,0.082941498,0.094696004,0.105761909,0.194500528,0.343526263,0.486971705,0.625940229,0.781317175,0.953611449,1.270041159,1.62,2.26,4,6.5,7,8.267232892,9.5,10.71,11.92243143,13.13491511
Dominica,DMA,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,0.548762737,1.165518146,,2.925345191,2.932164377,8.814844198,13.24522804,18.42489277,23.62041985,30.31961309,38.54364326,39.3981743,40.27446301,41.16,42.02,47.45,48.6,49.8,51,57.5,65,67.03
Denmark,DNK,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.097277268,0.194056515,0.386913951,0.578329976,1.34430775,3.82565642,5.714987841,11.38200494,22.66874615,30.59204065,39.17243086,42.95752472,64.25,76.26,80.93,82.74,86.65,85.03,85.02,86.84,88.72,89.81001339,92.26001172,94.6297,95.99,96.3305,96.96778525
Dominican Republic,DOM,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,0.017233601,0.074987053,0.142687565,0.233914189,1.104743874,3.704692356,4.429390697,6.823725733,7.898392937,8.865553461,11.48319778,14.84492837,17.66,20.82,27.72,31.4,38,42.32,45.9,49.58,54.21576634,61.32819041
Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,0.000360674,0.001768954,0.001738533,0.010268463,0.020238555,0.199523843,0.491705679,0.646114017,1.59164126,2.195359731,4.634475088,5.843942092,7.375984956,9.451190626,10.18,11.23,12.5,14.9,18.2,22.5,29.5,38.2,42.94552688
East Asia & Pacific (excluding high income),EAP,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,0.001162404,0.004032795,0.013044957,0.033709224,0.094262216,0.324176751,0.853351597,1.897115737,2.779090321,4.4049903,5.762101638,6.885265393,8.319143451,10.1739724,14.38269418,19.26013788,23.76924248,28.95757162,32.38576119,36.06834945,39.70893331,42.06223367,45.21010263,48.38662069
Early-demographic dividend,EAR,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.000245348,,,,0.015019465,0.045440007,0.080640842,0.163499287,0.344094257,0.613109986,1.238858864,1.694673871,2.847867804,3.416897115,4.217151396,4.895428367,5.783498059,7.349261153,8.515810292,9.714252577,12.8497122,15.47751308,18.12402905,20.95397182,25.47772338,30.18655276,33.43606586
East Asia & Pacific,EAS,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.007288276,,,0.079277922,0.1173821,0.209577898,0.464733741,1.079850356,1.882787353,3.406408274,5.592679876,7.252166109,8.993587818,10.54724365,12.59696421,14.66635904,16.61782757,20.76652345,25.25356621,29.51319761,34.23083831,37.36515597,40.70934549,44.57734943,46.81210321,49.78792365,52.79632079
Europe & Central Asia (excluding high income),ECA,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,0.01052411,0.040792597,0.094254251,0.196868602,0.378006267,0.707576244,1.142024052,2.02351501,2.977254104,5.155372985,7.483845455,10.97617698,12.71155732,15.27049928,20.62189979,24.12924842,27.73955451,35.8844807,40.78720278,48.70394172,52.87030902,56.90141989,60.26405601,63.67274985
Europe & Central Asia,ECS,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.048116387,,0.26259039,0.317773161,0.56486695,1.024012542,1.842912446,3.360348354,5.435921912,9.244019958,13.18414667,16.40556932,23.05751932,28.36337423,32.35908587,35.22693223,38.0834867,43.6743815,47.35904473,50.56603842,56.11911733,58.83463039,63.48625344,66.30666862,68.94435122,71.16200267,73.91475073
Ecuador,ECU,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,0.005118035,0.016400751,0.034833586,0.043833641,0.086161276,0.110217959,0.125272771,0.823371634,1.462188536,2.670443674,4.260796915,4.460228345,4.834442638,5.994255161,7.2,10.8,18.8,24.6,29.03,31.36680836,35.13514645,40.27912194,45.59039067,48.94043379,54.06292473
"Egypt, Arab Rep.",EGY,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,0.000975791,0.00638327,0.031319638,0.061466899,0.090480245,0.147987377,0.290445278,0.641265038,0.838945611,2.719999715,4.037885107,11.92,12.75,13.66,16.03,18.01,20,21.6,25.6,26.4,29.4,33.89460391,37.81938343,39.21381268
